file	sample	technology	read_count	total_bases	mean_length	median_length	N50	min_length	max_length	Q20_reads	Q20_percent	Q30_reads	Q30_percent
HG002.ont.1k.fastq.gz	HG002	ont	1000	18663418	18663.42	17570.50	29653	207	315783	947	94.70	920	92.00
HG002.pb.1k.fastq.gz	HG002	pb	1000	13469698	13469.70	13989.00	16454	791	32674	1000	100.00	994	99.40
HG003.ont.1k.fastq.gz	HG003	ont	1000	12808634	12808.63	5426.50	31679	71	74299	969	96.90	923	92.30
HG003.pb.1k.fastq.gz	HG003	pb	1000	14032604	14032.60	14611.50	16634	1663	32907	1000	100.00	997	99.70
HG004.ont.1k.fastq.gz	HG004	ont	1000	13605899	13605.90	5760.50	32458	51	78490	957	95.70	908	90.80
HG004.pb.1k.fastq.gz	HG004	pb	1000	14370953	14370.95	14926.50	16858	1914	32998	1000	100.00	999	99.90
