technology	n	pearson_r	pearson_p	spearman_rho	spearman_p	shapiro_residual_W	shapiro_residual_p	r_squared	regression_slope	pearson_spearman_difference
ONT	12	0.3563238900795279	0.25559423267594433	0.7342657342657343	0.006543490146837884	0.8897010159913342	0.11679861061163577	0.12696671464140746	0.07344006390554737	0.37794184418620635
PacBio	12	0.40558205331696495	0.1908506865491158	0.6503496503496504	0.022034190932365316	0.7728196796776171	0.004674912309610206	0.1644968019728055	0.3781018127558267	0.24476759703268547
